#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B21A75
#Date Time: 2023-03-29 12:45:36.929
#Sample rate: 238.139Hz
#Samples: 2369
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C1/3.5

Time (s),Channel 1 (V),Math 1 (A)
-16.79692,-0.0006051791362213319,-0.0001729083246346663
-16.79272077,-0.000943230704004305,-0.0002694944868583729
-16.78852154,-0.0009432307040044588,-0.0002694944868584168
-16.78432231,-0.0006051791362213319,-0.0001729083246346663
-16.78012308,-0.0006051791362214857,-0.0001729083246347102
-16.77592385,-0.0009432307040044588,-0.0002694944868584168
-16.77172462,-0.0006051791362213319,-0.0001729083246346663
-16.76752539,-0.000943230704004305,-0.0002694944868583729
-16.76332616,-0.0006051791362214857,-0.0001729083246347102
-16.75912693,-0.0006051791362213319,-0.0001729083246346663
-16.7549277,-0.0006051791362214857,-0.0001729083246347102
-16.75072847,-0.000943230704004305,-0.0002694944868583729
-16.74652924,-0.0009432307040044588,-0.0002694944868584168
-16.74233001,-0.000943230704004305,-0.0002694944868583729
-16.73813078,-0.0006051791362214857,-0.0001729083246347102
-16.73393155,-0.0009432307040044588,-0.0002694944868584168
-16.72973232,-0.0009432307040044588,-0.0002694944868584168
-16.72553309,-0.0009432307040044588,-0.0002694944868584168
-16.72133386,-0.0009432307040044588,-0.0002694944868584168
-16.71713463,-0.0009432307040044588,-0.0002694944868584168
-16.7129354,-0.0009432307040044588,-0.0002694944868584168
-16.70873617,-0.0009432307040044588,-0.0002694944868584168
-16.70453694,-0.0009432307040044588,-0.0002694944868584168
-16.70033771,-0.0009432307040044588,-0.0002694944868584168
-16.69613848,-0.0009432307040044588,-0.0002694944868584168
-16.69193925,-0.0006051791362213319,-0.0001729083246346663
-16.68774002,-0.000943230704004305,-0.0002694944868583729
-16.68354079,-0.0006051791362214857,-0.0001729083246347102
-16.67934156,-0.0006051791362213319,-0.0001729083246346663
-16.67514233,-0.0006051791362213319,-0.0001729083246346663
-16.6709431,-0.0006051791362213319,-0.0001729083246346663
-16.66674387,-0.0006051791362213319,-0.0001729083246346663
-16.66254464,-0.0006051791362213319,-0.0001729083246346663
-16.65834541,-0.0006051791362213319,-0.0001729083246346663
-16.65414618,-0.0009432307040044588,-0.0002694944868584168
-16.64994695,-0.0009432307040044588,-0.0002694944868584168
-16.64574772,-0.0006051791362213319,-0.0001729083246346663
-16.64154849,-0.0006051791362213319,-0.0001729083246346663
-16.63734926,-0.0006051791362213319,-0.0001729083246346663
-16.63315003,-0.0009432307040044588,-0.0002694944868584168
-16.6289508,-0.0009432307040044588,-0.0002694944868584168
-16.62475157,-0.0009432307040044588,-0.0002694944868584168
-16.62055234,-0.0009432307040044588,-0.0002694944868584168
-16.61635311,-0.0009432307040044588,-0.0002694944868584168
-16.61215388,-0.0009432307040044588,-0.0002694944868584168
-16.60795465,-0.0009432307040044588,-0.0002694944868584168
-16.60375542,-0.0009432307040044588,-0.0002694944868584168
-16.59955619,-0.0009432307040044588,-0.0002694944868584168
-16.59535696,-0.0006051791362213319,-0.0001729083246346663
-16.59115773,-0.0006051791362213319,-0.0001729083246346663
-16.5869585,-0.0009432307040044588,-0.0002694944868584168
-16.58275927,-0.0009432307040044588,-0.0002694944868584168
